segment_id,label,n_samples,duration_sec,gx_mean,gy_mean,gz_mean,B_mean,gx_std,gy_std,gz_std,B_std,dgx_mean,dgy_mean,dgz_mean,dB_mean,dgx_max_abs,dgy_max_abs,dgz_max_abs,dB_max_abs,gx_range,gy_range,gz_range,B_range,dB_dt_max,dB_dt_min,dB_dt_max_abs,dgx_dt_max_abs,dgy_dt_max_abs,dgz_dt_max_abs,rise_time_B,rise_time_dB,hold_B_mean,hold_B_std,hold_dB_mean,hold_dB_std,B_peak_idx_ratio,dB_peak_idx_ratio,B_zero_cross_rate,B_energy,dB_energy,gx_last,gy_last,gz_last,B_last,dB_last
0,no_contact,60,1.499305009841919,8.737867000000001,-0.006124483333333334,3.787128866666667,9.523485783333333,1.7763568394002505e-15,0.003359405852685197,0.06942591270519162,0.02746547825246062,1.7763568394002505e-15,0.0003865999999999998,-0.03700446666666693,-0.014682716666666096,1.7763568394002505e-15,0.008421916666666668,0.2108003333333337,0.08265849999999908,0.0,0.0168,0.26000000000000023,0.10237300000000005,152.80686322348768,-10.18490938330104,152.80686322348768,0.0,14.073159017375676,392.70898931575834,0.07410979270935059,0.07410979270935059,9.522650375,0.027265491246281272,-0.01551812499999953,0.027265491246281272,0.3220338983050847,0.4915254237288136,0.423728813559322,90.69753581784775,0.0009699346643499816,8.737867,-0.005067,3.864533,9.554316,0.016147500000000647
1,no_contact,48,1.1949279308319092,8.737867,-0.0055888541666666664,3.8298666041666665,9.540443291666667,0.0,0.003736104862183694,0.04646314027033488,0.01854322463075385,0.0,-0.000907409722222223,0.0026962708333335508,0.0010606250000000743,0.0,0.011318555555555557,0.1162373333333333,0.04615566666666737,0.0,0.017867,0.15893400000000035,0.06324600000000125,221.181001620915,-2.352335212977754,221.181001620915,0.0,49.344752941176466,551.9279150849671,0.6598198413848877,0.6598198413848877,9.539224368421051,0.020979120791397785,-0.00015829824561386374,0.020979120791397785,0.5957446808510638,0.6808510638297872,0.2553191489361702,91.0204020526872,0.00034497610509722144,8.737867,-0.003467,3.856,9.550868,0.011485333333332903
2,no_contact,60,1.5138118267059326,8.737867000000001,-0.00417775,3.819382216666667,9.536300950000001,1.7763568394002505e-15,0.003588839778280255,0.05973333283828822,0.023752658411516102,1.7763568394002505e-15,0.0006889166666666666,-0.01966228333333287,-0.007792800000000147,1.7763568394002505e-15,0.010199666666666666,0.20331149999999942,0.08000775000000004,0.0,0.017866,0.2397339999999999,0.0946599999999993,77.865004377034,-85.05493600563231,85.05493600563231,0.0,5.453049620801733,212.51927375087985,0.676628828048706,0.676628828048706,9.53359925,0.027062520606997497,-0.010494500000000295,0.027062520606997494,0.4576271186440678,0.3389830508474576,0.3220338983050847,90.94159999775252,0.0006249165134541691,8.737867,-0.002933,3.78,9.520438,-0.023655749999999642
3,no_contact,74,1.8574740886688232,8.737867,-0.005981972972972973,3.7995674729729734,9.528424689189189,0.0,0.004319749398302453,0.06702414472638439,0.026534262446232748,1.7763568394002505e-15,0.00047516988416988347,0.0221961158301159,0.008672903474903187,1.7763568394002505e-15,0.013009857142857146,0.24457135714285716,0.09473178571428598,0.0,0.020800000000000003,0.3408000000000002,0.1329709999999995,46.49299368210305,-33.54272424284768,46.49299368210305,0.0,22.60908337021277,115.83811988986245,0.0,0.0,9.530423103448276,0.025385703383984517,0.010671317733989875,0.025385703383984517,1.0,0.0684931506849315,0.3424657534246575,90.79158112463367,0.0007792863382505453,8.737867,-0.0096,3.8736,9.557991,0.03823921428571353
4,no_contact,72,1.8168339729309082,8.737867,-0.004970388888888889,3.8185333611111116,9.535926111111111,0.0,0.003877720763668737,0.052645878035677,0.021001048613075664,1.7763568394002505e-15,-0.00030374603174603096,-0.023904781746032763,-0.009567960317458348,1.7763568394002505e-15,0.009200357142857142,0.14483814285714391,0.05746707142856877,0.0,0.0176,0.18026700000000018,0.0716909999999995,64.75829781922242,-82.09080288804336,82.09080288804336,0.0,6.376211365803108,207.85283957958868,0.0742032527923584,0.0742032527923584,9.533299689655172,0.0175121763729549,-0.012194381773397026,0.0175121763729549,0.08450704225352113,0.8450704225352113,0.323943661971831,90.93432784061353,0.0005325899074852249,8.737867,-0.000533,3.8728,9.557662,0.01216792857143112
5,no_contact,47,1.1883950233459473,5.189253893617022,-0.011688,-0.9797276808510637,5.282847723404256,0.6335280104070106,0.004740134839629812,0.038308782496249506,0.618649143226086,0.4277427825059094,-0.00010277777777777755,0.0397390969267141,0.4105222789598114,1.7368888888888883,0.013481777777777777,0.12106677777777797,1.6914015555555562,2.9045330000000003,0.021599999999999998,0.14400000000000002,2.822541,254.46008279617266,-1248.8140381368858,1248.8140381368858,1273.6407727919157,19.522683707854846,93.92649884169883,1.1424560546875,1.1424560546875,5.363348611111111,0.47403824708785525,0.49102316666666723,0.4740382470878552,0.9782608695652174,0.9782608695652174,0.30434782608695654,28.29120683109189,0.5512553039367277,5.864,-0.007467,-0.922667,5.936149,1.0638235555555564
6,no_contact,87,2.202117919921875,5.916478172413793,-0.010706459770114942,-0.7433195862068965,5.964076850574714,0.7176117664718383,0.008426158638300542,0.038345453450930926,0.709681113125207,0.30317611359026486,8.548140635564656e-05,0.05100200202839764,0.2939648505747131,1.9458979411764714,0.06574105882352942,0.17005458823529418,1.9148250000000004,3.4832,0.07706600000000001,0.18506599999999995,3.4381830000000004,1888.7788293979727,-820.7828084536561,1888.7788293979727,1909.1569727633319,15.309127583887369,81.0669187044167,2.202117919921875,2.202117919921875,5.883088529411764,0.7253913478163209,0.21297652941176512,0.7253913478163209,1.0,1.0,0.3023255813953488,36.07385996188782,0.5900626157000461,7.5592,-0.006933,-0.624267,7.584937,1.9148250000000004
7,no_contact,48,1.1918272972106934,8.737867,-0.7804000208333334,6.122899979166665,10.705925958333333,0.0,0.23727999353414114,0.40431927117458233,0.22842068584521463,0.0,0.12727397916666675,0.18728520138888918,0.0973798472222231,0.0,0.7087410000000001,0.9254522222222228,0.5449128888888897,0.0,1.194934,1.6333340000000005,0.9249100000000006,702.9034989124405,-31.810982926957713,702.9034989124405,0.0,767.4077676779739,1126.8567889400924,0.6882190704345703,0.6882190704345703,10.704578368421053,0.25212289342870914,0.09603225730994232,0.25212289342870914,0.6808510638297872,0.6808510638297872,0.23404255319148937,114.6690266350375,0.06165884436702176,8.737867,-0.441333,6.637866,10.982093,0.37354688888889065
8,no_contact,52,1.2938461303710938,8.737867,-0.6184153461538462,7.300794769230768,11.40902173076923,0.0,0.24520982940055525,0.3452367890787543,0.21886860196413546,1.7763568394002505e-15,0.18643795384615375,0.23314166923076984,0.13726633076923075,1.7763568394002505e-15,0.6269862999999999,0.9264799000000004,0.5756905999999997,0.0,1.026133,1.4664000000000001,0.9225359999999991,271.6090008950392,-664.9016182180369,664.9016182180369,0.0,540.2357018384403,1005.5773276339158,0.2808389663696289,0.2808389663696289,11.407424476190474,0.20611541593985383,0.1356690761904761,0.20611541593985386,0.2549019607843137,0.2549019607843137,0.29411764705882354,130.21368031809027,0.06674551048858303,8.737867,-0.4464,7.480533,11.511211,0.23945559999999944
9,no_contact,49,1.2265229225158691,8.737867,-0.41073744897959186,4.890737428571429,10.025821673469387,0.0,0.2750793769760894,0.06414067026084305,0.03194687424739847,0.0,-0.2791522267573696,0.021374428571428704,0.020466117913832783,0.0,0.9732147777777778,0.2690969999999995,0.12328355555555426,0.0,1.099467,0.3549339999999992,0.19018699999999988,43.513100320859564,-75.44378490879535,75.44378490879535,0.0,2031.1571431423995,100.35177609506846,0.5258901119232178,0.5258901119232178,10.032570799999998,0.023578031693930808,0.027215244444444942,0.023578031693930808,0.4375,0.08333333333333333,0.2916666666666667,100.51812083098268,0.001439464756641999,8.737867,-0.471467,4.916266,10.037045,0.03168944444444577
