feature,importance
n_samples,1.1458410004056365
duration_sec,1.1406542664282486
B_zero_cross_rate,1.0197119025431731
gy_mean,0.4277110712896868
gz_range,0.4268835055497243
dgz_max_abs,0.423822016941142
B_peak_idx_ratio,0.3067631474840156
gz_std,0.30491858514618253
dB_max_abs,0.2959554999902145
gy_last,0.28824446648675667
B_range,0.2713858417671975
dgx_max_abs,0.268151913063389
gx_range,0.2494555367938215
hold_dB_std,0.20113714263375998
hold_B_std,0.20113714263375998
dB_peak_idx_ratio,0.19854623603263974
rise_time_dB,0.19622293894617074
rise_time_B,0.19622293894617074
dgy_mean,0.19441411005120096
gx_last,0.18248359146469015
gx_mean,0.16015377480675205
B_std,0.16011793224452325
gx_std,0.13762249966500156
dB_last,0.11282664086668594
gy_range,0.10993124589611429
dB_mean,0.10627772009308688
dgz_dt_max_abs,0.1052012449290579
hold_dB_mean,0.10200473282943838
dgy_max_abs,0.1019954430447905
dgx_mean,0.10092396758033516
gz_last,0.0841270182493088
gz_mean,0.07780155225303532
B_last,0.07414549265101798
gy_std,0.07132804686590945
dB_dt_min,0.06483133005032511
B_mean,0.059252570452502165
dgx_dt_max_abs,0.055652946457227695
dB_dt_max_abs,0.052465325050083084
B_energy,0.04920624861301447
dB_energy,0.041245680265054686
dB_dt_max,0.036574796450852626
dgz_mean,0.03337740797681026
dgy_dt_max_abs,0.025894417423732764
hold_B_mean,0.0026167805752699263
