feature,importance
hold_dB_std,0.3782750938743587
hold_B_std,0.37827509387435865
dB_peak_idx_ratio,0.3667845977194504
B_std,0.36113687842357484
dB_max_abs,0.32928023500659753
gx_std,0.3219529275227015
B_range,0.3123720145781378
dB_energy,0.30684672717554323
B_zero_cross_rate,0.30351290158333144
hold_B_mean,0.30157493668488644
rise_time_dB,0.2927107991010746
rise_time_B,0.2927107991010746
gx_range,0.292393306655527
dgx_max_abs,0.2806991729345852
hold_dB_mean,0.2717175376014122
gz_std,0.2702352279217613
dgx_mean,0.25612118157000185
dB_mean,0.255948321716921
gz_range,0.24804682919267448
gx_mean,0.215893794892223
dgz_max_abs,0.21066485442818847
dgz_mean,0.18291174179843595
B_peak_idx_ratio,0.16796068779099382
dB_dt_min,0.15360372765416153
B_mean,0.1496114967814935
dgx_dt_max_abs,0.14647750941216184
dgy_max_abs,0.1344891893308586
dB_dt_max_abs,0.12715033667553663
gy_range,0.11748866975567465
gy_std,0.1154525958383816
gy_last,0.09873404642249266
B_energy,0.0969468741147334
dgz_dt_max_abs,0.09664383140411097
gx_last,0.09003506382734616
dB_dt_max,0.08404503612329094
dB_last,0.07011288575816386
gy_mean,0.051885562363267135
dgy_mean,0.0394292441826787
gz_mean,0.039173093171465515
gz_last,0.03913417829672064
B_last,0.0334208705087223
dgy_dt_max_abs,0.022126150478677928
n_samples,0.0033025977347041304
duration_sec,0.0008155859002825171
