feature,mean_abs_shap
hold_B_std,0.3363418324043689
hold_dB_std,0.3363418324043689
B_std,0.31586940520093865
dB_max_abs,0.30852250359544897
B_range,0.2876509713343134
dB_peak_idx_ratio,0.28281779346159464
gx_std,0.27336390842436425
gx_range,0.2638398317901891
B_zero_cross_rate,0.2637966917779225
dgx_max_abs,0.24782112304773707
dB_energy,0.24491511171393332
rise_time_B,0.24137459510539305
rise_time_dB,0.24137459510539305
hold_B_mean,0.22573551246312695
gz_range,0.21890238519170716
gz_std,0.21756209282116748
hold_dB_mean,0.2071153803952301
dgx_mean,0.20586839160580703
dB_mean,0.19720642740127478
dgz_max_abs,0.1831311251494869
gx_mean,0.16027206039248057
dgz_mean,0.1294405271766897
B_peak_idx_ratio,0.10930198155224402
gy_std,0.10334550210001926
dgy_max_abs,0.1018842264594358
B_mean,0.1008093850404758
dgx_dt_max_abs,0.08806557535550133
gy_range,0.0878973918949116
dB_dt_max_abs,0.07359228927231556
dB_dt_min,0.06839474256685524
B_energy,0.06680311504935095
gy_last,0.05397175073616463
dgz_dt_max_abs,0.05352450492230932
gx_last,0.04732623070757668
dB_dt_max,0.04311411723985201
dB_last,0.03767361822253302
gy_mean,0.033074166751801776
gz_last,0.0288035102494873
gz_mean,0.02821437002473429
dgy_mean,0.022862879072080955
B_last,0.018936118288047952
dgy_dt_max_abs,0.013438707367479846
n_samples,0.0034447929967026227
duration_sec,0.0008488723317491876
