feature,mean_abs_shap
B_zero_cross_rate,0.8760360229600799
n_samples,0.7215741229625496
duration_sec,0.7181508143886386
gz_range,0.3719439229021241
dgz_max_abs,0.36442960875416297
gy_mean,0.27472910748336427
dB_max_abs,0.2733275224820899
gz_std,0.2683453999521327
B_range,0.25090625292403496
dgx_max_abs,0.2454867467981713
B_peak_idx_ratio,0.23635956185213539
gx_range,0.23412543725688148
hold_B_std,0.17879890463012663
hold_dB_std,0.17879890463012663
gy_last,0.17773684192621256
rise_time_B,0.16752396753406645
rise_time_dB,0.16752396753406645
dB_peak_idx_ratio,0.1547189645039332
B_std,0.13938495903641443
gx_mean,0.12744125185373426
gx_std,0.12449002668175645
gx_last,0.10500060356517105
dgy_mean,0.09649355389375174
gy_range,0.0872568918241996
dgy_max_abs,0.07587673387819002
hold_dB_mean,0.0742617429990832
dB_mean,0.07257672859664843
dgx_mean,0.07253309853442305
gz_last,0.063555579451343
gz_mean,0.059265814327598976
dgz_dt_max_abs,0.058022312404614196
dB_last,0.054744209057059165
gy_std,0.04942437683385271
B_last,0.04690544314539901
B_mean,0.04131432655470566
dgx_dt_max_abs,0.037207109546326465
B_energy,0.03505073754837866
dB_dt_max_abs,0.03303627385421003
dB_energy,0.03121014294924395
dgz_mean,0.026183251792226407
dB_dt_min,0.02597466672755799
dgy_dt_max_abs,0.024949871857402443
dB_dt_max,0.022663328148325446
hold_B_mean,0.0019637735874680627
